gamma,H1a,H2a,DT1a,DT2a,H1v,H2v,DT1v,DT2v,diverged
0.808,0.75056728205,0.647348191621,1.34949150162,1.41274880464,0.382981685718,0.391493941147,0.195536548394,0.254027410887,False
0.81,0.704742050868,0.658104220128,1.32505041334,1.42017738713,0.36367300866,0.349919029165,0.185219639801,0.228080415641,False
0.812,0.72515656362,0.647427883969,1.33829902068,1.41514886045,0.38073981832,0.381412087222,0.198105646358,0.24933451401,False
0.814,0.732849643759,0.623835694578,1.3442080846,1.40075197184,0.378953456845,0.370706576101,0.194679770456,0.242964373164,False
0.816,0.74006229928,0.623812997454,1.34910914475,1.40238849764,0.372194861379,0.389764986722,0.191383564534,0.256304232125,False
0.818,0.742368092169,0.665785580165,1.35132578723,1.43077574393,0.367781996575,0.36248034166,0.191074809356,0.239121396623,False
0.82,0.731613751525,0.656424254918,1.34803675866,1.4257130667,0.38142142454,0.35327501769,0.198936045861,0.233757821447,False
0.822,0.745797546678,0.642845936381,1.35578966018,1.41793148096,0.364867653524,0.350464872366,0.192206410007,0.232807344181,False
0.824,0.750638704626,0.641752110602,1.36041376327,1.41846766861,0.371972977382,0.348820342864,0.197586224739,0.232227016192,False
0.826,0.758271299081,0.630378769485,1.36594622925,1.41270811318,0.364367991083,0.375607715978,0.191346042223,0.250680245165,False
0.828,0.755914117211,0.665758776265,1.36581335243,1.43801452548,0.366711789813,0.388906643787,0.197263887455,0.259801556946,False
0.83,0.731557415572,0.651838546247,1.35457964218,1.42932894526,0.372011045315,0.360978727503,0.197553534165,0.24271857109,False
0.832,0.705144685515,0.666554387682,1.34164927635,1.44116081483,0.376867637257,0.388287766042,0.201764801417,0.261531517062,False
0.834,0.755248783214,0.683411973207,1.37036806281,1.45337336661,0.366678671417,0.363488876474,0.196484562992,0.246029149678,False
0.836,0.733629938917,0.700907379326,1.35900596358,1.46649176816,0.362388360758,0.355460783758,0.197281818639,0.241375780892,False
0.838,0.722431114532,0.68426369345,1.35537535444,1.45665593507,0.37399132272,0.361056513862,0.202153921659,0.245571426704,False
0.84,0.776197069349,0.648526497899,1.38724884707,1.43459354831,0.376310894894,0.405215334379,0.206988963423,0.275654328698,False
0.842,0.717480959821,0.689314399075,1.35488507225,1.46283727848,0.371294999776,0.359286161533,0.204782655154,0.245629581479,False
0.844,0.740225891658,0.666957127284,1.37027633593,1.44914270928,0.383487608911,0.373835664554,0.212161759532,0.256068883051,False
0.846,0.746805397558,0.644622477308,1.37583750724,1.43498383792,0.386486326846,0.370135723231,0.214116995373,0.254680943017,False
0.848,0.717564126518,0.729831134768,1.35956809651,1.49439706608,0.372111940099,0.325067213519,0.205519060778,0.22501541261,False
0.85,0.752865241925,0.688335959347,1.38192398889,1.46760025581,0.383244685123,0.357620388941,0.214934290989,0.247959678813,False
0.852,0.752654507544,0.683147765502,1.38328144527,1.46594910372,0.379212175373,0.384183205065,0.211269893811,0.266500625292,False
0.854,0.747479375809,0.660181667521,1.38114343312,1.4510993931,0.371254050103,0.376487485456,0.207428241343,0.262299582923,False
0.856,0.734532600116,0.6738455647,1.37510529237,1.46169006072,0.372113000181,0.361571133861,0.208953739246,0.252381483377,False
0.858,0.721643814437,0.698169740628,1.36970542453,1.4795543867,0.375700564519,0.333465109862,0.209075226076,0.234016912077,False
0.86,0.767807309477,0.680761558549,1.39670937996,1.46892610706,0.360292249647,0.347421254153,0.204147359125,0.244720197955,False
0.862,0.714019775841,0.753087542351,1.36912412034,1.52174566966,0.387024521082,0.356776383805,0.216730065964,0.251356800902,False
0.864,0.722800240102,0.676389387812,1.3745474191,1.46902511774,0.37715012795,0.370031770886,0.214317364389,0.261693601906,False
0.866,0.734913289051,0.685575037962,1.38296957792,1.47725365066,0.376054041549,0.386303995753,0.215127472284,0.273816443081,False
0.868,0.720500869883,0.683788927832,1.37580576798,1.47752186536,0.37485912151,0.391855486299,0.215130016292,0.277806541289,False
0.87,0.780850181477,0.708982295261,1.41383185789,1.49674872622,0.388336968823,0.386815899298,0.22864337329,0.275722202088,False
0.872,0.736412523313,0.733082306107,1.38777807558,1.51459058637,0.366692966702,0.343694301824,0.21015799641,0.246151001976,False
0.874,0.737953017544,0.707591013537,1.39076466242,1.49833005592,0.377624738934,0.374405006574,0.219328210682,0.268267750186,False
0.876,0.759845672108,0.667560983003,1.40519501334,1.47133858975,0.377086846341,0.395772070003,0.221691549492,0.284543646368,False
0.878,0.754568917794,0.704247584963,1.40499942619,1.49879049088,0.391516748496,0.377505616089,0.228522122561,0.272216593503,False
0.88,0.760464743482,0.718460751927,1.40965665475,1.51068654745,0.387076908991,0.384403857037,0.227362171144,0.277602160243,False
0.882,0.752154679096,0.698144764054,1.40612955954,1.49714836118,0.389233100118,0.377128710142,0.230360601069,0.273627944548,False
0.884,0.701179345623,0.735602113196,1.37597569847,1.52586626921,0.377963571929,0.373600254923,0.22226770999,0.271240633495,False
0.886,0.724091904195,0.709150078418,1.39042003026,1.50780803593,0.366446293696,0.366890675791,0.215885445021,0.267294130558,False
0.888,0.760428126285,0.700348004455,1.41537807327,1.5030368919,0.383167755575,0.38093150671,0.228251586055,0.278603001994,False
0.89,0.704606858368,0.660735542333,1.38211652843,1.47483236137,0.373589168867,0.355448190546,0.220471411498,0.260626827402,False
0.892,0.755509212043,0.670614972518,1.41557662438,1.48408871459,0.388369204489,0.38792982603,0.234366517448,0.285219923257,False
0.894,0.762012256031,0.719081968528,1.41888667257,1.52118205484,0.359814565451,0.38430282518,0.218110087464,0.283217178306,False
0.896,0.751496227161,0.68719712529,1.41420169027,1.49903181812,0.361550284628,0.38440088502,0.217957137348,0.283260576159,False
0.898,0.75594610302,0.683955048421,1.41989652327,1.49776840411,0.381030738315,0.374839488575,0.231462382814,0.277374310724,False
0.9,0.748260770002,0.711289329786,1.41639379843,1.51959655083,0.378832928805,0.379657054714,0.230846099274,0.281882699068,False
0.902,0.807371594378,0.685588989533,1.45530357055,1.50227989816,0.38165369963,0.400016868071,0.236783871274,0.297410931681,False
0.904,0.736109566063,0.703218154368,1.41347220058,1.51658057789,0.400412099146,0.389178301328,0.245721166966,0.290677737029,False
0.906,0.746425339875,0.735010926635,1.41995823138,1.54166487022,0.380799675086,0.378481034002,0.23375303025,0.283720943709,False
0.908,0.727992291173,0.729709755319,1.40928071363,1.53947539983,0.374734515378,0.393855828248,0.230616152493,0.295749027709,False
0.91,0.753314740221,0.747575501752,1.42702442612,1.55415574229,0.37940293321,0.379299101231,0.235995269562,0.285630118337,False
0.912,0.774642553237,0.73266632967,1.44155035754,1.54423858434,0.372706602252,0.377371982933,0.234071065469,0.285657992343,False
0.914,0.754902289942,0.741507414291,1.43043777013,1.55213737859,0.369388699503,0.359635041252,0.229916966666,0.272082925611,False
0.916,0.766002554263,0.741638672212,1.43938877254,1.55417082969,0.372527073863,0.382025208919,0.232674179844,0.289863652257,False
0.918,0.761274430702,0.752045204007,1.43896257381,1.56405134058,0.391930629974,0.401562753792,0.248789609326,0.305372129458,False
0.92,0.754128069234,0.754714846088,1.43527300191,1.56777873703,0.385042731617,0.410027854533,0.245277501887,0.312846425645,False
0.922,0.727771299201,0.713493053763,1.42208178451,1.53759718004,0.405959492045,0.411451905674,0.254560892981,0.31500972696,False
0.924,0.760157291543,0.731042860852,1.44260087396,1.552292921,0.38745146565,0.398485202331,0.247092784988,0.305401798453,False
0.926,0.771503293627,0.740625147832,1.44972816583,1.56076822963,0.361078531223,0.381347271344,0.229661236296,0.293474397876,False
0.928,0.729520175611,0.720714882656,1.42602186108,1.54757655112,0.387685515379,0.416776098452,0.245488814802,0.321769754668,False
0.93,0.775519595256,0.751849382938,1.4576169777,1.57248636464,0.393801106451,0.382452735824,0.255213337542,0.295831660402,False
0.932,0.746918220796,0.775648628719,1.43926808857,1.59241091545,0.372167705469,0.376489204078,0.236156994239,0.292568103297,False
0.934,0.770904806618,0.750182998703,1.45685223015,1.5737586253,0.379813784864,0.362506304903,0.245372088295,0.282287868475,False
0.936,0.727060977529,0.751541043298,1.43064373391,1.57656920769,0.392752826055,0.375363923412,0.251848780339,0.293215346869,False
0.938,0.729069934193,0.719876004271,1.43156422266,1.55351797063,0.373109649411,0.388610276048,0.241842654063,0.303755738597,False
0.94,0.748452883095,0.765363037975,1.44786893435,1.59054516032,0.399515716812,0.377499442424,0.261400155679,0.29598122823,False
0.942,0.773479646945,0.785942996523,1.46579740065,1.60857094608,0.394665270879,0.388303145292,0.259245218536,0.305463249923,False
0.944,0.779472472638,0.74945788958,1.47158675045,1.58088431185,0.398165737291,0.372498730594,0.26306128534,0.29379445266,False
0.946,0.763122816452,0.76930324848,1.46153365464,1.59877756649,0.390530379062,0.400967734845,0.258035749957,0.316585934488,False
0.948,0.784554913307,0.753632354062,1.47660140697,1.58793567831,0.379707045588,0.405236956196,0.253291991775,0.320633368893,False
0.95,0.794111087541,0.728673419538,1.4849618051,1.57004461997,0.385935031943,0.427333755072,0.260085483949,0.338920112849,False
0.952,0.726909977006,0.773874745351,1.44172695503,1.60660154392,0.389187941179,0.381137646345,0.256879457568,0.303732126947,False
0.954,0.776578005479,0.782454658323,1.47728685298,1.61525568034,0.394744675398,0.391333964846,0.26355513646,0.312631661983,False
0.956,0.795902317938,0.748678542387,1.49143796188,1.58982183645,0.388351699265,0.397875283895,0.262017832953,0.317970270706,False
0.958,0.789183964912,0.752839202284,1.48757193114,1.59500194356,0.376855403282,0.409047343911,0.254241060869,0.326544341845,False
0.96,0.754687916084,0.756415589333,1.46665996217,1.59862000588,0.39060216616,0.378282898277,0.261636493165,0.304357501002,False
0.962,0.801762718532,0.77281077756,1.50029246691,1.61356057051,0.389179513458,0.384720514015,0.26555490519,0.3102890107,False
0.964,0.733696868802,0.767235966291,1.4565374367,1.61084459932,0.40348536992,0.397358631671,0.269834147099,0.321204484724,False
0.966,0.729685299099,0.77264423674,1.45298923026,1.61640212834,0.38223847573,0.380887418879,0.259530886733,0.309247468248,False
0.968,0.749268908232,0.788098907681,1.46963675011,1.63118436381,0.399821118514,0.405660736978,0.271320072254,0.329016856886,False
0.97,0.804024130824,0.753230309529,1.50812547821,1.60355416263,0.387304521919,0.379326874363,0.267647084628,0.30966521929,False
0.972,0.799387685386,0.776279710973,1.50626592917,1.62471859088,0.387783363519,0.411488770202,0.270209351385,0.335893879199,False
0.974,0.793287445973,0.788066481335,1.50238138439,1.63507747531,0.368573938826,0.36869552779,0.255378274599,0.301761189216,False
0.976,0.790411937204,0.821992113892,1.50405886962,1.66469536637,0.396816406256,0.368431086519,0.275966612178,0.302429210574,False
0.978,0.763964433823,0.774578527496,1.48584237392,1.62698806417,0.382978687803,0.366321726802,0.266038736296,0.301750849492,False
0.98,0.798513638412,0.756398438839,1.51266704611,1.61433474173,0.395487503699,0.406234032507,0.278532034043,0.334848409127,False
0.982,0.751167682988,0.777655190835,1.48182678586,1.63324377038,0.403450928928,0.393552589367,0.279223330541,0.325074369519,False
0.984,0.779572905474,0.747440708638,1.50208085385,1.60965338648,0.388406767537,0.395641273582,0.2719885887,0.328034475445,False
0.986,0.790801853862,0.774315004502,1.51048450875,1.63363461495,0.37641924021,0.397574269526,0.26687148877,0.330206359572,False
0.988,0.810451193444,0.74929614424,1.52817646095,1.6143807232,0.395498047719,0.40450321628,0.278600090999,0.337063838784,False
0.99,0.804283066426,0.789372856666,1.52505839122,1.64919262735,0.396101170423,0.388673129611,0.281844628277,0.324301239741,False
0.992,0.786278797028,0.781872327903,1.5143939649,1.64425406627,0.403223351191,0.380789600658,0.285664472105,0.319077271932,False
0.994,0.770816760211,0.817322675936,1.50427767278,1.67542620118,0.396899817153,0.361920176343,0.281294282839,0.303424583732,False
0.996,0.784590996609,0.786709776908,1.51623439522,1.65196856089,0.40508540744,0.402797648544,0.290131441468,0.33861537732,False
0.998,0.823804954702,0.796019793518,1.54617374751,1.66139707463,0.401135785529,0.400350427646,0.289710176859,0.337196011867,False
1,0.778068426054,0.796027955695,1.51401459361,1.66279994375,0.393985342072,0.392660806608,0.281292491357,0.331978894406,False
1.002,0.771052685424,0.753129572116,1.5111617001,1.62841225235,0.404431215248,0.415890132805,0.290438319525,0.351942552656,False
1.004,0.779977258953,0.817368020598,1.5193690361,1.68402832978,0.406845701363,0.382032127306,0.293788954155,0.324260233707,False
1.006,0.785990664421,0.794544644503,1.52345215835,1.66690975897,0.383153423441,0.419809433733,0.277719982821,0.357233830187,False
1.008,0.809478287693,0.793476047408,1.54307053255,1.6671137247,0.39376432566,0.398677724198,0.288543368172,0.340125189002,False
1.01,0.765761092923,0.783707299917,1.51291342812,1.66069050569,0.393842663389,0.415425428195,0.283241034419,0.354877158478,False
1.012,0.807751164292,0.809207392773,1.54561141966,1.68415824029,0.396013622646,0.412691802214,0.288724838206,0.353788264974,False
1.014,0.781828783386,0.832685410769,1.52786221738,1.70563965177,0.39328826815,0.390687444419,0.285062832802,0.335586331768,False
1.016,0.806700226512,0.79633579555,1.54658403257,1.6762892673,0.381723184163,0.414905910862,0.282327076199,0.357324109574,False
1.018,0.811298352608,0.844674621899,1.5527657959,1.71867950938,0.395086302795,0.353932883022,0.292657650178,0.30548212479,False
1.02,0.777538660607,0.827961772764,1.52927067015,1.70664106029,0.394006892411,0.398406048231,0.288664028653,0.345142057875,False
1.022,0.809683775611,0.816519381097,1.55401891979,1.69814291588,0.388777691792,0.390658750435,0.291467351532,0.339129113284,False
1.024,0.820980092679,0.834204605453,1.56515446398,1.71483743944,0.398554599282,0.372357053669,0.298779467034,0.324951420332,False
1.026,0.80636489243,0.828651445893,1.55580179791,1.71216544999,0.399211011106,0.395489736106,0.298796129299,0.344810699814,False
1.028,0.763734805294,0.864986569605,1.52481911015,1.74597453904,0.392665472159,0.40352233092,0.291199231631,0.353045585663,False
1.03,0.831358885061,0.836118851106,1.57763508111,1.72194106483,0.395170420113,0.389855925542,0.300143664945,0.34161674696,False
1.032,0.781330660794,0.798454787769,1.54145758386,1.69080124501,0.397630225895,0.409171292916,0.298550344698,0.358554851245,False
1.034,0.78338093443,0.83662556965,1.54536517356,1.72612748495,0.404151191243,0.409301809913,0.302631980666,0.360529840026,False
1.036,0.837334453933,0.786395892939,1.58661577411,1.68349266158,0.384661998858,0.418405130749,0.293784038288,0.368613478391,False
1.038,0.813591736001,0.856664296657,1.57040690204,1.74715325016,0.392785820689,0.400520614305,0.300207518343,0.354235097647,False
1.04,0.778929090003,0.821240383621,1.54628332261,1.71705885917,0.40329456614,0.392376794167,0.306223282497,0.348072884332,False
1.042,0.798646204474,0.808869353147,1.56193555704,1.7077019486,0.389157201357,0.394411738462,0.297180962625,0.35050261334,False
1.044,0.843070102408,0.849964559004,1.59856404549,1.7462431185,0.394971991377,0.398563364597,0.305217120134,0.354854432687,False
1.046,0.856514683031,0.835416075143,1.6126645541,1.73420591281,0.417189898861,0.367878350892,0.32310886459,0.328925853177,False
1.048,0.765837593224,0.790988630152,1.54257126175,1.6973081447,0.404088001261,0.425678399097,0.308436421191,0.378900735151,False
1.05,0.845454258499,0.81182491967,1.60486457833,1.71735547689,0.388300638798,0.416325078789,0.303587597337,0.372606123201,False
1.052,0.825975322301,0.878106227616,1.59249052191,1.77841703911,0.401002522053,0.394744799852,0.310471433475,0.355202583771,False
1.054,0.87514262001,0.882588124895,1.63185856545,1.7836561777,0.382065587689,0.365167021456,0.29889981314,0.329454083532,False
1.056,0.79316528132,0.815742012078,1.56987698384,1.7254368836,0.400540180269,0.402565786803,0.309972731224,0.363330465519,False
1.058,0.822522771116,0.850323081908,1.59361005389,1.75803214496,0.388341567709,0.378903442039,0.303718895371,0.343204294607,False
1.06,0.832750315077,0.855442768356,1.60655349906,1.7654573267,0.427748279803,0.428236287208,0.335880142088,0.388564523494,False
1.062,0.800423920165,0.895177732944,1.58006592086,1.80294923727,0.399481711398,0.399648193085,0.313595094663,0.363677523777,False
1.064,0.84535071241,0.834381747592,1.61819464496,1.74955512775,0.405594609587,0.424828437728,0.32076354479,0.386331988498,False
1.066,0.851959137623,0.830110984002,1.62386056854,1.74728181765,0.387528306512,0.424537215972,0.307471190573,0.387112511527,False
1.068,0.850658109246,0.918203865484,1.62592248779,1.82947540398,0.406063129356,0.395367569261,0.322867111289,0.36265288387,False
1.07,0.806289151942,0.831487571202,1.59230521045,1.75111145237,0.408607406314,0.388393568223,0.321572132828,0.355460284076,False
1.072,0.861631008014,0.863445721942,1.6377329479,1.7826050487,0.399314670221,0.406767185536,0.319802650521,0.374804427671,False
1.074,0.811408922795,0.926300956445,1.59864999986,1.84292746897,0.402350422882,0.415705712107,0.322081966953,0.38399047741,False
1.076,0.857991252975,0.885408452054,1.6386268431,1.8060369319,0.407827328137,0.383891749833,0.329647500901,0.355156820111,False
1.078,0.79916440253,0.876884746021,1.59256654665,1.79959545079,0.404459365964,0.370017092221,0.321671767913,0.342948569991,False
1.08,0.8713894536,0.831451438658,1.65175334328,1.76026195484,0.394452484885,0.431448886723,0.323479706191,0.400093589885,False
1.082,0.820304302405,0.880139917332,1.61332222747,1.80703714683,0.410825157939,0.415195726589,0.330911763848,0.386863113665,False
1.084,0.841037266711,0.871679024851,1.6300776253,1.80108413597,0.389654151792,0.421348707932,0.317562520449,0.392115325512,False
1.086,0.873510790376,0.837246480494,1.66024110626,1.77041270184,0.408190549516,0.419266206958,0.333828507426,0.391373038374,False
1.088,0.834809638164,0.863914827415,1.62972933687,1.79733757699,0.405648659797,0.429740720452,0.330326119533,0.403096518165,False
1.09,0.88482465628,0.85983994301,1.67112192466,1.79469308591,0.378532786652,0.401557512168,0.310921172118,0.376399537626,False
1.092,0.877883886441,0.885374616328,1.66896500816,1.82098799394,0.408383162768,0.41986403537,0.338108224444,0.39409648712,False
1.094,0.847044882346,0.877402109122,1.64532559478,1.81512995941,0.410175913723,0.416786854642,0.336771001319,0.39202104566,False
1.096,0.802164252697,0.85740292356,1.60928525443,1.79747390288,0.405748708716,0.397881584444,0.332020834651,0.375159855376,False
1.098,0.865333602621,0.83884135303,1.66459530088,1.78180782116,0.414137631362,0.411111320614,0.341217594216,0.388563691558,False
1.1,0.931597020351,0.900206589129,1.72067201485,1.84234165589,0.392898072484,0.427846719785,0.330326216545,0.406023294877,False
